,Probabilities,x,y,z,rx,ry,rz
15125,0.014176061043509923,30.010153746618286,11.676795369150563,2.763838524432442,-2.015842977377222,-0.41543774489949636,-2.8148775793668666
15126,0.01417321319094344,14.346843338821555,21.45758714513881,-30.852094487581255,2.4792781879526467,-0.6317203728049889,-1.9834162218055258
15127,0.014172504314353792,-4.866465860255394,20.694957344608955,-1.0730937933644062,2.0170282386564136,0.371556251338361,-0.24822155411656047
15128,0.014172504314353771,-16.345693312549862,-7.840792137120064,-19.469230309309165,1.2609073522982008,-0.5536770913227325,2.7215278275341976
15129,0.014168375871437842,35.08588539799442,-39.96958395190173,-30.316631767607788,-2.157855055296796,-0.8018219125798494,2.5743622610008625
15130,0.014162111909499783,-10.888183462948684,-8.825906030544727,-22.41741327026146,1.1531876479299603,-0.40945539572242495,2.857044290832237
15131,0.014162111909499689,-10.253672851645693,17.242053459271673,-1.719204670696402,2.1046832988988817,0.2513907458935738,-0.1353325480934973
15132,0.014159473620204538,-21.078870038315024,13.523781600490137,-7.323158606996367,-2.3016258277927193,-0.4259927849422067,-0.007234118396565411
15133,0.014156338351050396,-44.14512221097306,-26.416656623082712,27.36605911981255,-0.6712265228110866,0.31570176638710334,0.20110595066071582
15134,0.014151813824554434,-2.992565656689342,7.964496869865472,42.8843995714593,-2.0084473411591923,0.892211503125087,-1.6502910036165284
15135,0.01415119424199978,22.310421475318762,24.136459790597925,28.34092220409279,-2.3384098077605535,0.38585330765608794,-2.2263198575192535
15136,0.014150782666556722,-0.2766979235556075,-8.149264515976697,-33.56486174338374,0.7578101584167838,-0.3328311827179462,-3.0834934990638527
15137,0.014147008704173875,15.858124445318172,11.839056456292209,24.408873597216317,-0.40732027470332327,0.11191173168647994,-2.7285500668514335
15138,0.014144623465761577,8.628149128135618,-5.513972054305445,-48.25239912330544,2.329679810652903,-0.8582714405068097,0.3028280561480767
15139,0.014142156582256302,-9.111693860029712,-26.455305175385767,12.775462510859569,-0.350616137550677,0.27990604165050614,0.60739623554106
15140,0.014141411215498507,-13.092696900439934,-13.632474031552455,22.736901178901086,-1.1410593253731023,0.43987809340338213,0.27603779372481024
15141,0.014139729519917585,44.863373309604285,14.06316820728878,8.195154298824663,-2.373990506465518,-0.16873475134035965,-2.762094112664496
15142,0.014139194433972959,33.897872743320576,0.9881551294396567,7.740183619458669,-0.13767309366065325,0.33907486945115006,2.488776904503489
15143,0.014138144368478458,-23.35978661400053,22.567635653461412,-11.937619567790957,0.7040702231569579,-0.008126971841362352,-0.8078860379180876
